title,s_img,scrible,author,publisher,pub_date,price,score,num
邓小平时代(Deng Xiaoping and the Transformation of China),https://img3.doubanio.com/view/subject/s/public/s24516687.jpg,个人命运背后的历史变局,【美】傅高义 (Ezra.F.Vogel),生活·读书·新知三联书店,2013-01-18,88.0,9.3,74478
撒哈拉的故事(无),https://img3.doubanio.com/view/subject/s/public/s1369343.jpg,游荡的自由灵魂,三毛,哈尔滨出版社,2003-08-01,15.8,9.2,180103
天龙八部(无),https://img9.doubanio.com/view/subject/s/public/s26018275.jpg,有情皆孽，无人不冤,金庸,生活·读书·新知三联书店,1994-05-01,96.0,9.2,134765
呐喊(无),https://img9.doubanio.com/view/subject/s/public/s34099286.jpg,新文学的第一声呐喊,鲁迅,人民文学出版社,1973-03-01,0.36,9.2,164309
安徒生童话故事集(无),https://img3.doubanio.com/view/subject/s/public/s1034062.jpg,为了争取未来的一代,（丹麦）安徒生,人民文学出版社,1997-08-01,25.0,9.3,135383
小王子(Le Petit Prince),https://img1.doubanio.com/view/subject/s/public/s1237549.jpg,献给长成了大人的孩子们,[法] 圣埃克苏佩里,人民文学出版社,2003-08-01,22.0,9.1,765687
白夜行(白夜行),https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,一宗离奇命案牵出跨度近20年步步惊心的故事,[日] 东野圭吾,南海出版公司,2013-01-01,39.5,9.2,487187
沉默的大多数(无),https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,沉默是沉默者的通行证,王小波,中国青年出版社,1997-10-01,27.0,9.1,154047
厌女(女ぎらい),https://img3.doubanio.com/view/subject/s/public/s33797467.jpg,无,上野千鹤子,上海三联书店,2015-01-01,28.0,9.1,85685
刘擎西方现代思想讲义(无),https://img2.doubanio.com/view/subject/s/public/s33802981.jpg,无,刘擎,新星出版社,2021-01-01,79.0,9.2,38675
看见(无),https://img1.doubanio.com/view/subject/s/public/s24514758.jpg,在这里看见中国,柴静,广西师范大学出版社,2013-01-01,39.8,8.8,340769
南京大屠杀(无),https://img9.doubanio.com/view/subject/s/public/s28297426.jpg,无,[美]张纯如（Iris Chang）,中信出版社,2015-08-01,49.0,9.7,20496
冰与火之歌(A Song of Ice and Fire),https://img9.doubanio.com/view/subject/s/public/s27218035.jpg,乔治·R·R·马丁史诗奇幻小说,[美]乔治·R.R.马丁,重庆出版社,2013-10-01,330.0,9.5,19499
鹿川有许多粪(녹천에는 똥이 많다),https://img3.doubanio.com/view/subject/s/public/s33968312.jpg,无,李沧东,武汉大学出版社,2021-08-01,58.0,8.9,35838
倚天屠龙记(无),https://img9.doubanio.com/view/subject/s/public/s34097535.jpg,不识张郎是张郎,金庸,生活·读书·新知三联书店,1999-04-01,47.0,8.7,63139
了不起的盖茨比(The Great Gatsby),https://img9.doubanio.com/view/subject/s/public/s9110246.jpg,无,[美] 斯科特·菲茨杰拉德,南海出版公司,2012-05-01,25.0,8.8,57022
奥斯维辛(Auschwitz: A New History),https://img2.doubanio.com/view/subject/s/public/s29000481.jpg,无,[英] 劳伦斯·里斯,广西师范大学出版社,2016-09-01,79.0,9.5,10326
黑箱：日本之耻(Black Box),https://img9.doubanio.com/view/subject/s/public/s30025945.jpg,无,[日] 伊藤诗织,雅众文化,2019-04-01,48.0,8.9,23922
认识电影(无),https://img3.doubanio.com/view/subject/s/public/s28274132.jpg,电影入门经典之作,[美] 路易斯·贾内梯,世界图书出版公司,2007-11-01,68.0,8.9,18812
