user_id,book_id,action,rating,event_timestamp
456,9,view,,1729823972
387,88,view,,1729823972
320,30,click,,1729823972
138,20,view,,1729823972
357,63,rating,4.7,1729823972
408,8,rating,3.2,1729823972
489,90,view,,1729823972
169,29,rating,3.4,1729823972
369,34,view,,1729823972
20,21,view,,1729823972
409,55,rating,1.2,1729823972
405,7,rating,4.8,1729823972
239,51,view,,1729823972
185,41,rating,4.4,1729823972
210,8,rating,1.3,1729823972
380,31,click,,1729823972
89,95,rating,3.6,1729823972
369,39,click,,1729823972
417,44,click,,1729823972
463,55,rating,1.6,1729823972
432,66,click,,1729823972
109,53,click,,1729823972
84,91,click,,1729823972
215,12,view,,1729823972
364,5,rating,2.7,1729823972
81,27,click,,1729823972
319,30,view,,1729823972
224,72,rating,1.9,1729823972
262,23,click,,1729823972
348,38,rating,3.1,1729823972
475,66,view,,1729823972
423,3,rating,1.8,1729823972
342,22,rating,2.0,1729823972
233,62,view,,1729823972
481,94,click,,1729823972
277,69,rating,1.1,1729823972
237,52,rating,3.6,1729823972
489,44,view,,1729823972
280,87,click,,1729823972
26,3,rating,1.6,1729823972
431,13,rating,3.5,1729823972
194,15,view,,1729823972
239,58,rating,1.4,1729823972
112,5,click,,1729823972
130,25,view,,1729823972
111,54,rating,1.3,1729823972
15,40,rating,3.1,1729823972
386,6,click,,1729823972
252,85,click,,1729823972
311,14,rating,1.2,1729823972
468,49,click,,1729823972
2,10,click,,1729823972
495,40,view,,1729823972
4,47,view,,1729823972
306,16,view,,1729823972
457,41,rating,1.6,1729823972
205,16,rating,2.0,1729823972
188,2,click,,1729823972
216,77,click,,1729823972
14,20,view,,1729823972
195,67,view,,1729823972
440,81,rating,3.2,1729823972
216,26,click,,1729823972
212,14,click,,1729823972
318,57,rating,2.6,1729823972
155,25,click,,1729823972
78,59,rating,2.9,1729823972
67,4,view,,1729823972
431,77,view,,1729823972
71,16,rating,2.9,1729823972
308,30,view,,1729823972
368,39,click,,1729823972
398,67,click,,1729823972
54,36,rating,2.8,1729823972
58,64,click,,1729823972
32,48,view,,1729823972
246,48,click,,1729823972
19,94,rating,2.8,1729823972
213,42,rating,1.8,1729823972
249,74,view,,1729823972
22,52,click,,1729823972
184,82,view,,1729823972
222,73,rating,4.1,1729823972
294,40,click,,1729823972
39,18,click,,1729823972
392,32,rating,2.8,1729823972
420,3,click,,1729823972
479,49,view,,1729823972
331,22,click,,1729823972
417,54,view,,1729823972
164,2,view,,1729823972
43,97,click,,1729823972
133,7,rating,1.9,1729823972
258,34,rating,3.6,1729823972
47,42,view,,1729823972
26,43,rating,2.2,1729823972
476,73,view,,1729823972
98,26,click,,1729823972
80,100,click,,1729823972
270,85,view,,1729823972
495,30,view,,1729823972
11,97,click,,1729823972
109,71,rating,1.8,1729823972
358,95,rating,4.9,1729823972
486,52,rating,1.8,1729823972
311,36,click,,1729823972
417,6,click,,1729823972
106,25,rating,1.8,1729823972
321,99,rating,2.7,1729823972
285,41,view,,1729823972
237,18,rating,1.1,1729823972
19,84,rating,3.9,1729823972
2,58,view,,1729823972
351,86,click,,1729823972
204,60,rating,4.5,1729823972
241,25,click,,1729823972
84,31,view,,1729823972
458,10,click,,1729823972
381,41,rating,1.8,1729823972
412,99,rating,3.1,1729823972
201,37,click,,1729823972
91,59,view,,1729823972
44,52,click,,1729823972
393,34,rating,5.0,1729823972
46,32,rating,4.7,1729823972
37,90,rating,1.5,1729823972
42,16,view,,1729823972
377,34,rating,5.0,1729823972
1,27,click,,1729823972
451,59,click,,1729823972
34,83,click,,1729823972
375,9,rating,3.2,1729823972
196,36,rating,2.9,1729823972
388,20,view,,1729823972
56,2,rating,4.0,1729823972
300,40,rating,3.8,1729823972
50,25,click,,1729823972
230,54,rating,4.1,1729823972
92,81,click,,1729823972
198,9,rating,2.6,1729823972
283,78,click,,1729823972
171,45,view,,1729823972
202,21,click,,1729823972
476,45,view,,1729823972
175,45,click,,1729823972
340,55,view,,1729823972
458,31,view,,1729823972
288,39,rating,1.5,1729823972
228,44,click,,1729823972
349,75,view,,1729823972
130,53,view,,1729823972
202,34,click,,1729823972
274,86,view,,1729823972
282,92,click,,1729823972
303,98,click,,1729823972
93,75,click,,1729823972
353,35,click,,1729823972
167,58,click,,1729823972
244,71,view,,1729823972
226,61,view,,1729823972
89,42,rating,3.5,1729823972
390,14,rating,1.3,1729823972
42,63,view,,1729823972
264,26,click,,1729823972
243,4,view,,1729823972
357,26,click,,1729823972
76,82,view,,1729823972
223,7,rating,2.7,1729823972
369,12,view,,1729823972
311,57,click,,1729823972
157,44,view,,1729823972
285,25,view,,1729823972
396,23,view,,1729823972
21,28,view,,1729823972
56,56,rating,2.9,1729823972
91,12,rating,1.2,1729823972
198,49,click,,1729823972
355,12,rating,3.4,1729823972
313,53,view,,1729823972
336,21,click,,1729823972
5,2,rating,2.1,1729823972
332,55,view,,1729823972
396,58,click,,1729823972
230,90,rating,4.3,1729823972
230,35,click,,1729823972
293,4,click,,1729823972
431,16,click,,1729823972
91,39,click,,1729823972
496,5,rating,2.0,1729823972
365,5,rating,3.7,1729823972
135,37,view,,1729823972
304,81,rating,1.1,1729823972
32,77,rating,3.2,1729823972
297,4,view,,1729823972
44,59,view,,1729823972
358,4,view,,1729823972
180,79,rating,2.1,1729823972
235,95,rating,1.6,1729823972
6,79,rating,4.0,1729823972
57,53,rating,3.5,1729823972
222,88,click,,1729823972
218,94,click,,1729823972
303,3,click,,1729823972
496,77,click,,1729823972
353,59,view,,1729823972
216,9,view,,1729823972
469,21,click,,1729823972
288,15,click,,1729823972
355,67,view,,1729823972
174,62,rating,4.6,1729823972
89,33,click,,1729823972
462,20,click,,1729823972
224,2,click,,1729823972
493,81,click,,1729823972
154,32,click,,1729823972
400,50,view,,1729823972
344,100,rating,1.3,1729823972
26,59,view,,1729823972
369,88,view,,1729823972
40,9,click,,1729823972
299,82,view,,1729823972
84,29,rating,3.7,1729823972
99,96,click,,1729823972
471,56,view,,1729823972
55,61,click,,1729823972
455,98,rating,3.6,1729823972
81,100,rating,2.1,1729823972
278,49,rating,3.2,1729823972
444,100,click,,1729823972
295,23,click,,1729823972
7,4,click,,1729823972
2,43,click,,1729823972
429,96,view,,1729823972
233,47,view,,1729823972
90,60,view,,1729823972
172,72,view,,1729823972
46,25,click,,1729823972
33,53,rating,4.4,1729823972
231,77,rating,4.1,1729823972
473,4,click,,1729823972
324,29,rating,2.8,1729823972
488,8,click,,1729823972
34,95,rating,3.5,1729823972
125,35,click,,1729823972
164,80,view,,1729823972
64,59,rating,4.0,1729823972
153,34,rating,5.0,1729823972
431,91,click,,1729823972
299,5,rating,1.3,1729823972
354,89,view,,1729823972
473,6,rating,1.6,1729823972
67,32,click,,1729823972
341,99,click,,1729823972
85,20,rating,4.4,1729823972
432,33,click,,1729823972
349,63,view,,1729823972
72,77,click,,1729823972
59,80,click,,1729823972
236,47,rating,1.7,1729823972
288,30,view,,1729823972
38,84,click,,1729823972
160,8,view,,1729823972
481,15,click,,1729823972
457,81,rating,1.0,1729823972
18,50,click,,1729823972
208,50,view,,1729823972
233,93,rating,3.8,1729823972
440,21,rating,4.2,1729823972
34,28,view,,1729823972
86,28,view,,1729823972
480,15,click,,1729823972
132,14,rating,2.8,1729823972
361,99,view,,1729823972
436,42,click,,1729823972
66,38,view,,1729823972
4,40,click,,1729823972
1,74,view,,1729823972
